Termo de Busca,Ranking de Busca,ID do Anuncio,Titulo,Marca,Categoria,Preco (R$),Preco Original (R$),Desconto (%),Avaliacao (0-5),Qtd Avaliacoes,Vendas Estimadas,Faturamento Estimado (R$),Frete Gratis,FULL,Localizacao,Garantia,Link
Chá De Hibisco Flor Inteira 500g,1,MLB3615148591,Hibisco Flor Chá 500g Emagrecimento Premium,Cerealista Castelo,Chá,26.99,26.99,0,0,0,0,0,Nao,Sim,"Santo André, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3615148591
Chá De Hibisco Flor Inteira 500g,2,MLB4440800114,Hibisco Flor Chá 1kg Premium Emagrecimento,Cerealista Castelo,Chá,49.99,49.99,0,0,0,0,0,Nao,Sim,"Santo André, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4440800114
Chá De Hibisco Flor Inteira 500g,3,MLB5713650874,Hibisco Flor 500g Premium - Alecrim&tomilho,Alecrim&Tomilho,Chá,20.69,26.9,23,0,0,0,0,Nao,Sim,"Santo André, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5713650874
Chá De Hibisco Flor Inteira 500g,4,MLB4631408165,Chá Hibisco Flor Orgânico Sachê Vinagreira,Kampo de Ervas,Chá,26.9,26.9,0,0,0,0,0,Nao,Sim,"Tremembé, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4631408165
Chá De Hibisco Flor Inteira 500g,5,MLB5212507814,Chá De Hibisco - Flor Inteira - Paulistana Empório - 500g,Chas Da Alice,Chá,24.99,24.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5212507814
Chá De Hibisco Flor Inteira 500g,6,MLB4411503737,Hibisco Flor Desidratada Chá Ca.nuts 300g | Linha De Chás,Ca.Nuts,Chá,35.89,35.89,0,0,0,0,0,Nao,Sim,"Santo André, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4411503737
Cravo Da Índia 500g,1,MLB4036225295,Cravo Da Índia - 500g,Paulistana Empório,Especiarias,51.99,51.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4036225295
Cravo Da Índia 500g,2,MLB4413182292,Cravo Da India 500g Premium,Casa Bela,Especiarias,67.8,82.9,18,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4413182292
Cravo Da Índia 500g,3,MLB6767485392,Cravo Da Índia Flor 500g,Terra Cerealista,Especiarias,57.9,57.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6767485392
Cravo Da Índia 500g,4,MLB3564711749,Cravo Da Índia Em Pó - 500g - Naturais Mona,Naturais Mona,Especiarias,16.91,19.9,15,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3564711749
Cravo Da Índia 500g,5,MLB4734881327,Cravo Da Índia Da Terrinha 10g,Da Terrinha,Especiarias,9.29,9.29,0,0,0,0,0,Nao,Sim,"Americana, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4734881327
Cravo Da Índia 500g,6,MLB4651442546,Cravo Da India Flor 250g,Teka alimentos,Especiarias,27.23,38.9,30,0,0,0,0,Nao,Sim,"São Bernardo do Campo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4651442546
Cravo Da Índia 500g,7,MLB6416519180,Cravo Da India 250g Premium,Requena,Especiarias,34.9,39.9,13,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-6416519180
Cravo Da Índia 500g,8,MLB4426693619,Cravo Da Índia - 200g - Paulistana Empório,Paulistana Empório,Chá,23.99,23.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4426693619
Cravo Da Índia 500g,9,MLB5285265132,Cravo Da India Em Pó - 90g,Villa Cerroni,Especiarias,28.6,28.6,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-5285265132
Cravo Da Índia 500g,10,MLB5176742598,Cravo Da Índia Em Grãos Pacote de 500g - Niyati,Niyati,Especiarias,49.95,62.44,20,0,0,0,0,Nao,Sim,"Junqueirópolis, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5176742598
Cravo Da Índia 500g,11,MLB3556338643,500g | Cravo Da Índia Em Grãos Original | Drasen Food,Drasen Food Ingredients,Especiarias,56.9,68.89,17,0,0,0,0,Nao,Sim,"Vargem Grande Paulista, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3556338643
Cravo Da Índia 500g,12,MLB5504585022,Cravo Da Índia - 1kg - Paulistana Empório,Paulistana Empório,Especiarias,99.99,99.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5504585022
Anis Estrelado 200g,1,MLB5436982222,Anis Estrelado - 200g - Paulistana Empório,Paulistana Empório,Chá,18.99,18.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5436982222
Anis Estrelado 200g,2,MLB5224539300,Anis Estrelado - 100g,Naturais Brasil,Especiarias,14.9,14.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 6 meses,https://produto.mercadolivre.com.br/MLB-5224539300
Anis Estrelado 200g,3,MLB4988406628,Anis Estrelado 500g - Natural,TEKA NATURAIS,Chá,37.71,41.9,10,0,0,0,0,Nao,Sim,"São Bernardo do Campo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4988406628
Anis Estrelado 200g,4,MLB4466293153,Anis Estrelado - 1kg,Paulistana Empório,Chá,74.99,74.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4466293153
Anis Estrelado 200g,5,MLB4426515635,Anis Estrelado - 500g - Paulistana Empório,Paulistana Empório,Chá,35.99,35.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4426515635
